County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Latimer County Oklahoma,OKLAHOMA,20.6%,27.15%,14.36%,28.3%
Morgan County Ohio,OHIO,14.77%,20.38%,8.94%,38.2%
Alfalfa County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,42.3%
Pittsburg County Oklahoma,OKLAHOMA,20.6%,27.15%,14.36%,36.1%
Rogers County Oklahoma,OKLAHOMA,17.7%,23.11%,12.07%,36.6%
Multnomah County Oregon,OREGON,9.25%,11.69%,6.77%,66.9%
Okfuskee County Oklahoma,OKLAHOMA,18.7%,25.29%,13.07%,39.7%
Harmon County Oklahoma,OKLAHOMA,17.6%,23.73%,12.16%,41.2%
Tillman County Oklahoma,OKLAHOMA,19.75%,26.04%,13.63%,39.6%
Jefferson County Oregon,OREGON,11.46%,14.31%,8.69%,52.7%
Lincoln County Oregon,OREGON,11.32%,14.14%,8.51%,61.9%
Mercer County Ohio,OHIO,13.41%,18.49%,7.98%,39.1%
Love County Oklahoma,OKLAHOMA,20.75%,26.98%,14.52%,36.3%
Williams County Ohio,OHIO,14.16%,19.76%,8.48%,42.3%
Washita County Oklahoma,OKLAHOMA,17.6%,23.73%,12.16%,32.9%
Deschutes County Oregon,OREGON,9.96%,12.15%,7.39%,60.2%
Union County Oregon,OREGON,11.48%,14.53%,8.8%,41.5%
Cherokee County Oklahoma,OKLAHOMA,21.43%,28.74%,14.69%,34.8%
Grady County Oklahoma,OKLAHOMA,18.95%,24.35%,13.17%,31%
Putnam County Ohio,OHIO,12.85%,17.78%,7.65%,49%
Ottawa County Oklahoma,OKLAHOMA,20.03%,26.36%,13.86%,27.3%
Cimarron County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,26.6%
Harper County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,40.9%
Portage County Ohio,OHIO,13.43%,18.79%,8.02%,49.1%
Harney County Oregon,OREGON,12.22%,15.69%,9.19%,38.5%
Vinton County Ohio,OHIO,16.86%,23.37%,10.43%,34.3%
Ottawa County Ohio,OHIO,12.16%,16.83%,7.22%,54.5%
Johnston County Oklahoma,OKLAHOMA,20.29%,26.52%,14.11%,35.8%
Tillamook County Oregon,OREGON,11.32%,14.14%,8.51%,57.3%
Blaine County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,39.2%
Pontotoc County Oklahoma,OKLAHOMA,20.38%,26.61%,14.19%,44.2%
Murray County Oklahoma,OKLAHOMA,20.75%,26.98%,14.52%,39.6%
Seminole County Oklahoma,OKLAHOMA,18.7%,25.29%,13.07%,42%
Atoka County Oklahoma,OKLAHOMA,20.29%,26.52%,14.11%,30.3%
Summit County Ohio,OHIO,12.8%,18.27%,7.58%,55.1%
Craig County Oklahoma,OKLAHOMA,20.03%,26.36%,13.86%,43.5%
Woodward County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,32.3%
Morrow County Oregon,OREGON,11.46%,14.31%,8.69%,46.9%
Seneca County Ohio,OHIO,14.68%,20.64%,8.8%,44.4%
Morrow County Ohio,OHIO,15.86%,21.97%,9.61%,38%
Kiowa County Oklahoma,OKLAHOMA,17.6%,23.73%,12.16%,46.4%
Columbia County Oregon,OREGON,11.32%,14.14%,8.51%,49.4%
Delaware County Oklahoma,OKLAHOMA,20.03%,26.36%,13.86%,27.3%
McCurtain County Oklahoma,OKLAHOMA,20.6%,27.15%,14.36%,26.8%
Wood County Ohio,OHIO,12.52%,17.53%,7.41%,57.3%
Wallowa County Oregon,OREGON,11.48%,14.53%,8.8%,53.6%
Van Wert County Ohio,OHIO,13.41%,18.49%,7.98%,26.4%
Cleveland County Oklahoma,OKLAHOMA,16.51%,21.75%,11.23%,42%
Richland County Ohio,OHIO,15.32%,21.41%,9.33%,39.6%
Texas County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,36.7%
Miami County Ohio,OHIO,14.11%,19.56%,8.42%,44%
Grant County Oregon,OREGON,11.46%,14.31%,8.69%,41.1%
Linn County Oregon,OREGON,10.7%,13.45%,8.04%,47.1%
Logan County Oklahoma,OKLAHOMA,19.05%,24.94%,13.24%,26.8%
Osage County Oklahoma,OKLAHOMA,18.71%,24.29%,13.03%,23.8%
Josephine County Oregon,OREGON,12.09%,15.37%,9.09%,41.8%
Carter County Oklahoma,OKLAHOMA,20.75%,26.98%,14.52%,36.4%
Pike County Ohio,OHIO,16.86%,23.37%,10.43%,39.2%
Haskell County Oklahoma,OKLAHOMA,20.6%,27.15%,14.36%,34.4%
Garvin County Oklahoma,OKLAHOMA,20.75%,26.98%,14.52%,41.4%
Nowata County Oklahoma,OKLAHOMA,20.03%,26.36%,13.86%,30.5%
Washington County Oklahoma,OKLAHOMA,19.59%,25.44%,13.73%,33.2%
Curry County Oregon,OREGON,12.09%,15.37%,9.09%,45.3%
McIntosh County Oklahoma,OKLAHOMA,19.82%,26.2%,13.76%,45.9%
Pottawatomie County Oklahoma,OKLAHOMA,19.02%,24.76%,13.22%,37.4%
Forest County Pennsylvania,PENNSYLVANIA,13.05%,18.49%,8.78%,62.7%
Lexington County South Carolina,SOUTH CAROLINA,14.26%,21.64%,8%,42.9%
Aurora County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,44.8%
Charleston County South Carolina,SOUTH CAROLINA,12.51%,19.11%,6.87%,53.7%
Haakon County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,29.2%
Tioga County Pennsylvania,PENNSYLVANIA,12.35%,17.33%,8.18%,37.6%
Clark County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,54.2%
Colleton County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,35.1%
Clay County South Dakota,SOUTH DAKOTA,10.25%,14.67%,7.42%,56.7%
Spartanburg County South Carolina,SOUTH CAROLINA,14.43%,22.3%,8.14%,33.4%
Wheeler County Oregon,OREGON,11.46%,14.31%,8.69%,50.8%
Washington County Rhode Island,RHODE ISLAND,6.28%,8.26%,4.74%,66.8%
Beaver County Pennsylvania,PENNSYLVANIA,10.91%,15.34%,7.1%,39%
Susquehanna County Pennsylvania,PENNSYLVANIA,11.96%,16.61%,7.88%,40.7%
Sumter County South Carolina,SOUTH CAROLINA,15.24%,24.46%,8.63%,37.5%
Cherokee County South Carolina,SOUTH CAROLINA,15.16%,23.74%,8.59%,26%
Kershaw County South Carolina,SOUTH CAROLINA,13.75%,21.6%,7.61%,41.9%
Fayette County Pennsylvania,PENNSYLVANIA,13.73%,19.57%,9.14%,51.4%
Lancaster County Pennsylvania,PENNSYLVANIA,11.33%,15.74%,7.6%,55.5%
Bristol County Rhode Island,RHODE ISLAND,6.28%,8.28%,4.75%,67.9%
Columbia County Pennsylvania,PENNSYLVANIA,11.85%,16.76%,7.81%,52.9%
Davison County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,41.9%
Huntingdon County Pennsylvania,PENNSYLVANIA,12.8%,17.96%,8.49%,42.8%
Dorchester County South Carolina,SOUTH CAROLINA,14.55%,22.46%,8.04%,40.3%
Washington County Pennsylvania,PENNSYLVANIA,11.11%,15.48%,7.27%,54.3%
Greenville County South Carolina,SOUTH CAROLINA,13.51%,20.46%,7.56%,45.2%
Blair County Pennsylvania,PENNSYLVANIA,12.8%,17.96%,8.49%,45.2%
Philadelphia County Pennsylvania,PENNSYLVANIA,10.96%,16.91%,7.09%,48.3%
Douglas County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,39%
Marlboro County South Carolina,SOUTH CAROLINA,15.02%,23.17%,8.49%,33.5%
Bon Homme County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,49.1%
Allendale County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,41.9%
Georgetown County South Carolina,SOUTH CAROLINA,14.37%,23.05%,8.07%,45.9%
Cambria County Pennsylvania,PENNSYLVANIA,11.95%,17.03%,7.86%,49.5%
Butte County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,29.4%
Lehigh County Pennsylvania,PENNSYLVANIA,10.82%,15.78%,6.95%,61%
Codington County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,41.9%
Providence County Rhode Island,RHODE ISLAND,7.24%,9.99%,5.35%,57.7%
Buffalo County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,52.9%
Lee County South Carolina,SOUTH CAROLINA,15.24%,24.46%,8.63%,32.5%
Yamhill County Oregon,OREGON,10.84%,13.48%,8.18%,52.4%
Greene County Pennsylvania,PENNSYLVANIA,12.29%,17.4%,8.08%,42.1%
Indiana County Pennsylvania,PENNSYLVANIA,12.57%,17.77%,8.4%,40.5%
Hamlin County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,38.1%
Mercer County Pennsylvania,PENNSYLVANIA,11.94%,16.82%,7.96%,45.4%
Warren County Pennsylvania,PENNSYLVANIA,12.49%,17.64%,8.39%,41.6%
Chester County Pennsylvania,PENNSYLVANIA,8.5%,11.58%,5.61%,58.1%
Crawford County Pennsylvania,PENNSYLVANIA,12.49%,17.64%,8.39%,44.8%
McKean County Pennsylvania,PENNSYLVANIA,12.96%,18.25%,8.6%,33.5%
Sullivan County Pennsylvania,PENNSYLVANIA,12.35%,17.33%,8.18%,39.8%
Union County South Carolina,SOUTH CAROLINA,15.16%,23.74%,8.59%,32.4%
Erie County Pennsylvania,PENNSYLVANIA,12.46%,17.87%,8.17%,53%
Kent County Rhode Island,RHODE ISLAND,7.13%,9.34%,5.29%,67.2%
Butler County Pennsylvania,PENNSYLVANIA,9.95%,13.7%,6.47%,56.8%
Pike County Pennsylvania,PENNSYLVANIA,11.96%,16.61%,7.88%,43.6%
Faulk County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,50.5%
Montour County Pennsylvania,PENNSYLVANIA,12.5%,17.69%,8.29%,71.4%
Chester County South Carolina,SOUTH CAROLINA,15.16%,23.74%,8.59%,35.3%
Pickens County South Carolina,SOUTH CAROLINA,14.53%,22.16%,8.26%,38.2%
Beaufort County South Carolina,SOUTH CAROLINA,12.13%,18.58%,6.79%,50.8%
Aiken County South Carolina,SOUTH CAROLINA,14.67%,22.6%,8.24%,37%
Bedford County Pennsylvania,PENNSYLVANIA,13.04%,18.24%,8.76%,34%
Lawrence County Pennsylvania,PENNSYLVANIA,12.03%,17.09%,7.95%,43.2%
Greenwood County South Carolina,SOUTH CAROLINA,14.06%,22.15%,7.9%,42.6%
Lancaster County South Carolina,SOUTH CAROLINA,15.02%,23.17%,8.49%,32.4%
Dewey County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,67.9%
Dillon County South Carolina,SOUTH CAROLINA,14.37%,23.05%,8.07%,36.5%
Wayne County Pennsylvania,PENNSYLVANIA,11.96%,16.61%,7.88%,51%
Marion County South Carolina,SOUTH CAROLINA,14.37%,23.05%,8.07%,38.8%
Campbell County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,27.7%
Corson County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,30.6%
Adams County Pennsylvania,PENNSYLVANIA,11.91%,16.51%,7.93%,45.6%
Barnwell County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,38.4%
Jefferson County Pennsylvania,PENNSYLVANIA,13.05%,18.49%,8.78%,46.4%
Orangeburg County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,42.2%
Bennett County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,44.3%
Grant County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,43.1%
Montgomery County Pennsylvania,PENNSYLVANIA,8.56%,11.77%,5.61%,57.8%
Venango County Pennsylvania,PENNSYLVANIA,13.05%,18.49%,8.78%,37.3%
Clarion County Pennsylvania,PENNSYLVANIA,13.05%,18.49%,8.78%,39.7%
Florence County South Carolina,SOUTH CAROLINA,14.29%,22.57%,8.07%,44.8%
Northampton County Pennsylvania,PENNSYLVANIA,9.77%,13.62%,6.34%,55.4%
Westmoreland County Pennsylvania,PENNSYLVANIA,10.6%,14.8%,6.95%,50.3%
Centre County Pennsylvania,PENNSYLVANIA,10.99%,16.07%,7.3%,51%
Brule County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,38.9%
Fulton County Pennsylvania,PENNSYLVANIA,13.04%,18.24%,8.76%,29.5%
Bucks County Pennsylvania,PENNSYLVANIA,8.91%,12.12%,5.85%,60.1%
Newport County Rhode Island,RHODE ISLAND,6.28%,8.28%,4.75%,67.5%
Fall River County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,44.4%
Lycoming County Pennsylvania,PENNSYLVANIA,12.52%,17.79%,8.33%,45.7%
Hampton County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,48.3%
Chesterfield County South Carolina,SOUTH CAROLINA,15.02%,23.17%,8.49%,30.1%
Laurens County South Carolina,SOUTH CAROLINA,14.61%,22.29%,8.23%,31.8%
Lebanon County Pennsylvania,PENNSYLVANIA,12.06%,17%,8%,48.3%
Elk County Pennsylvania,PENNSYLVANIA,12.96%,18.25%,8.6%,54.4%
Potter County Pennsylvania,PENNSYLVANIA,12.96%,18.25%,8.6%,27.8%
Richland County South Carolina,SOUTH CAROLINA,13.17%,21.42%,7.34%,45.1%
Deuel County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,36.7%
Cumberland County Pennsylvania,PENNSYLVANIA,10.54%,14.62%,7%,56.7%
Berks County Pennsylvania,PENNSYLVANIA,10.92%,15.45%,7.12%,49.2%
Abbeville County South Carolina,SOUTH CAROLINA,14.06%,22.15%,7.9%,34.6%
Williamsburg County South Carolina,SOUTH CAROLINA,15.24%,24.46%,8.63%,45.3%
Somerset County Pennsylvania,PENNSYLVANIA,13.04%,18.24%,8.76%,42.3%
Berkeley County South Carolina,SOUTH CAROLINA,13.42%,20.64%,7.44%,35.6%
Juniata County Pennsylvania,PENNSYLVANIA,13.56%,18.97%,9.25%,38.3%
Gregory County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,41.5%
Franklin County Pennsylvania,PENNSYLVANIA,12.48%,17.41%,8.39%,41.9%
Northumberland County Pennsylvania,PENNSYLVANIA,12.5%,17.69%,8.29%,50.2%
Clearfield County Pennsylvania,PENNSYLVANIA,12.96%,18.25%,8.6%,44.7%
McCormick County South Carolina,SOUTH CAROLINA,14.06%,22.15%,7.9%,52.7%
Allegheny County Pennsylvania,PENNSYLVANIA,9.34%,13.23%,5.99%,58.1%
Brown County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,52.7%
Custer County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,35.9%
Bamberg County South Carolina,SOUTH CAROLINA,14.76%,24.02%,8.38%,35.5%
Fairfield County South Carolina,SOUTH CAROLINA,12.1%,19.39%,6.64%,42.7%
Charles Mix County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,49.9%
Monroe County Pennsylvania,PENNSYLVANIA,10.73%,15.31%,7%,48%
Carbon County Pennsylvania,PENNSYLVANIA,10.73%,14.82%,7.02%,53.4%
Wyoming County Pennsylvania,PENNSYLVANIA,10.4%,14.56%,6.76%,51.2%
Union County Pennsylvania,PENNSYLVANIA,13.56%,18.97%,9.25%,48.6%
Darlington County South Carolina,SOUTH CAROLINA,14.29%,22.57%,8.07%,40.5%
Oconee County South Carolina,SOUTH CAROLINA,14.53%,22.16%,8.26%,39.4%
Beadle County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,41.4%
Calhoun County South Carolina,SOUTH CAROLINA,13.75%,21.6%,7.61%,29.6%
Horry County South Carolina,SOUTH CAROLINA,14.4%,21.79%,8.07%,45.3%
Armstrong County Texas,TEXAS,12.41%,18.83%,8.24%,
Moore County Tennessee,TENNESSEE,13.58%,20.21%,8.64%,17.3%
Hand County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,39.1%
Lewis County Tennessee,TENNESSEE,14.9%,22.21%,9.47%,28.4%
Sevier County Tennessee,TENNESSEE,14.11%,20.73%,8.84%,35.8%
Hyde County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,43.3%
Sumner County Tennessee,TENNESSEE,12.21%,17.99%,7.54%,36.4%
Lake County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,39.4%
Davidson County Tennessee,TENNESSEE,10.84%,16.68%,6.55%,49.4%
Blount County Tennessee,TENNESSEE,12.92%,18.86%,8.07%,41.7%
Perkins County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,24.5%
Ziebach County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,23.2%
Potter County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,48.8%
Cocke County Tennessee,TENNESSEE,15.19%,22.46%,9.67%,41.3%
McCook County South Dakota,SOUTH DAKOTA,10.25%,14.67%,7.42%,46%
Roane County Tennessee,TENNESSEE,12.6%,18.74%,7.86%,35.3%
Van Buren County Tennessee,TENNESSEE,13.82%,20.64%,8.79%,43.9%
Minnehaha County South Dakota,SOUTH DAKOTA,9.78%,14.13%,7.04%,56.3%
Carroll County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,36.4%
Macon County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,24.6%
Decatur County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,30.4%
Hickman County Tennessee,TENNESSEE,14.08%,20.67%,8.84%,31.5%
Stanley County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,59.8%
Pickett County Tennessee,TENNESSEE,12.99%,19.72%,8.14%,38.3%
Tipton County Tennessee,TENNESSEE,13.37%,20.22%,8.37%,27.9%
Knox County Tennessee,TENNESSEE,11.71%,17.54%,7.17%,47.9%
Fayette County Tennessee,TENNESSEE,13.37%,20.22%,8.37%,40.4%
Lincoln County Tennessee,TENNESSEE,13.58%,20.21%,8.64%,32.8%
Shelby County Tennessee,TENNESSEE,11.74%,18.86%,7.18%,39.3%
Hanson County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,35%
Hawkins County Tennessee,TENNESSEE,13.74%,20.79%,8.64%,35%
Jackson County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,37.3%
Dyer County Tennessee,TENNESSEE,14.07%,21.4%,8.84%,29.1%
Smith County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,25.3%
Lake County Tennessee,TENNESSEE,14.07%,21.4%,8.84%,23.8%
Morgan County Tennessee,TENNESSEE,15.01%,22.36%,9.68%,40.2%
Spink County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,39.1%
Anderson County Tennessee,TENNESSEE,13.94%,20.81%,8.76%,45.7%
Hamilton County Tennessee,TENNESSEE,11.43%,17.19%,7.01%,44.6%
Moody County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,46.5%
Turner County South Dakota,SOUTH DAKOTA,10.25%,14.67%,7.42%,38.5%
McNairy County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,37.9%
Giles County Tennessee,TENNESSEE,14.9%,22.21%,9.47%,29.3%
Maury County Tennessee,TENNESSEE,13.41%,20.08%,8.34%,49.1%
Kingsbury County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,62.8%
Coffee County Tennessee,TENNESSEE,13.58%,20.21%,8.64%,34.6%
Rhea County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,34.5%
Union County Tennessee,TENNESSEE,13.94%,20.81%,8.76%,28%
Henry County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,37.7%
Marshall County Tennessee,TENNESSEE,13.41%,20.08%,8.34%,31.9%
Lyman County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,53.4%
Weakley County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,27.4%
Bledsoe County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,25.1%
Hardin County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,33.1%
Wayne County Tennessee,TENNESSEE,14.9%,22.21%,9.47%,33.2%
Perry County Tennessee,TENNESSEE,14.9%,22.21%,9.47%,31.5%
Harding County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,16%
Tripp County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,33.2%
Union County South Dakota,SOUTH DAKOTA,10.25%,14.67%,7.42%,48.4%
Cannon County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,23.3%
Gibson County Tennessee,TENNESSEE,14.07%,21.4%,8.84%,33.9%
Meade County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,42%
Oglala Lakota County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,51.9%
Campbell County Tennessee,TENNESSEE,15.01%,22.36%,9.68%,33.5%
Dickson County Tennessee,TENNESSEE,14.08%,20.67%,8.84%,34.7%
Stewart County Tennessee,TENNESSEE,13.36%,20.78%,8.11%,31.8%
Sanborn County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,43.4%
Hancock County Tennessee,TENNESSEE,15.01%,22.36%,9.68%,26.7%
Lincoln County South Dakota,SOUTH DAKOTA,9.98%,14.36%,7.2%,44%
Crockett County Tennessee,TENNESSEE,14.07%,21.4%,8.84%,35.7%
Chester County Tennessee,TENNESSEE,13.07%,20.32%,8.17%,28.6%
Lauderdale County Tennessee,TENNESSEE,13.37%,20.22%,8.37%,27.3%
Scott County Tennessee,TENNESSEE,15.01%,22.36%,9.68%,30.5%
Jackson County Tennessee,TENNESSEE,12.99%,19.72%,8.14%,26.6%
Henderson County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,32.9%
Jerauld County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,45%
Bedford County Tennessee,TENNESSEE,13.41%,20.08%,8.34%,29.3%
Meigs County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,52.7%
Obion County Tennessee,TENNESSEE,14.07%,21.4%,8.84%,29.2%
Austin County Texas,TEXAS,11.14%,17.04%,7.38%,
McMinn County Tennessee,TENNESSEE,14.13%,20.87%,8.91%,30.9%
Grainger County Tennessee,TENNESSEE,15.19%,22.46%,9.67%,39.3%
Putnam County Tennessee,TENNESSEE,12.99%,19.72%,8.14%,40%
Hughes County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,53.6%
Humphreys County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,31%
Walworth County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,33.5%
Rutherford County Tennessee,TENNESSEE,12.14%,18.13%,7.43%,38.1%
Unicoi County Tennessee,TENNESSEE,14%,20.81%,8.85%,44.3%
Bee County Texas,TEXAS,11.83%,18%,7.72%,
Cheatham County Tennessee,TENNESSEE,14.08%,20.67%,8.84%,37.6%
Franklin County Tennessee,TENNESSEE,13.58%,20.21%,8.64%,31.1%
Mellette County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,31.7%
Marion County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,34.2%
Claiborne County Tennessee,TENNESSEE,15.01%,22.36%,9.68%,36.1%
Greene County Tennessee,TENNESSEE,14%,20.81%,8.85%,36.8%
Marshall County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,50.5%
Washington County Tennessee,TENNESSEE,12.54%,18.95%,7.82%,47.6%
Todd County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,48.7%
Lawrence County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,39%
Hardeman County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,33.2%
Bastrop County Texas,TEXAS,12.4%,18.8%,8.27%,
Bradley County Tennessee,TENNESSEE,14.13%,20.87%,8.91%,31%
Monroe County Tennessee,TENNESSEE,12.6%,18.74%,7.86%,34.6%
Lawrence County Tennessee,TENNESSEE,14.9%,22.21%,9.47%,28.6%
Overton County Tennessee,TENNESSEE,12.99%,19.72%,8.14%,29.8%
Benton County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,35.6%
Roberts County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,53%
Cumberland County Tennessee,TENNESSEE,13.82%,20.64%,8.79%,39.7%
Sequatchie County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,25%
Atascosa County Texas,TEXAS,11.46%,17.4%,7.56%,
Pennington County South Dakota,SOUTH DAKOTA,10.46%,15.13%,7.64%,38.4%
Jones County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,49.2%
Haywood County Tennessee,TENNESSEE,14.52%,22.09%,9.18%,36.7%
Sullivan County Tennessee,TENNESSEE,13.4%,19.75%,8.35%,45.5%
DeKalb County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,31.1%
Jefferson County Tennessee,TENNESSEE,14.11%,20.73%,8.84%,38.1%
Yankton County South Dakota,SOUTH DAKOTA,10.25%,14.67%,7.42%,59.3%
Bell County Texas,TEXAS,12.44%,19.93%,8.15%,
Sully County South Dakota,SOUTH DAKOTA,13.65%,20.68%,9.67%,31.9%
Clay County Tennessee,TENNESSEE,12.99%,19.72%,8.14%,24.2%
Miner County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,51.5%
Polk County Tennessee,TENNESSEE,14.13%,20.87%,8.91%,34.4%
Hutchinson County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,43.4%
Warren County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,31.3%
Houston County Tennessee,TENNESSEE,13.69%,20.73%,8.64%,31%
Madison County Tennessee,TENNESSEE,13.07%,20.32%,8.17%,42.7%
Carter County Tennessee,TENNESSEE,14%,20.81%,8.85%,32.4%
McPherson County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,11.5%
Grundy County Tennessee,TENNESSEE,14.91%,22.01%,9.55%,20.6%
Fentress County Tennessee,TENNESSEE,13.82%,20.64%,8.79%,26.4%
Loudon County Tennessee,TENNESSEE,12.6%,18.74%,7.86%,53.3%
Robertson County Tennessee,TENNESSEE,14.08%,20.67%,8.84%,38.8%
Trousdale County Tennessee,TENNESSEE,15.19%,22.56%,9.68%,27.8%
Johnson County Tennessee,TENNESSEE,14%,20.81%,8.85%,30.6%
Montgomery County Tennessee,TENNESSEE,13.36%,20.78%,8.11%,43.9%
Botetourt County Virginia,VIRGINIA,5.74%,11.26%,3.94%,17.6%
Salt Lake County Utah,UTAH,10.23%,13.6%,6.23%,48.7%
Johnson County Texas,TEXAS,13.46%,19.61%,9.07%,
Chambers County Texas,TEXAS,13.77%,20.28%,9.29%,
DeWitt County Texas,TEXAS,11.34%,17.09%,7.62%,
Hill County Texas,TEXAS,12.48%,18.8%,8.5%,
Falls County Texas,TEXAS,12.48%,18.8%,8.5%,
Jeff Davis County Texas,TEXAS,11.66%,17.65%,7.89%,
Kleberg County Texas,TEXAS,9.92%,16.03%,6.42%,
Floyd County Texas,TEXAS,11.43%,17.58%,7.66%,
Lipscomb County Texas,TEXAS,12.41%,18.83%,8.24%,
Hays County Texas,TEXAS,10.18%,15.7%,6.64%,
Kent County Texas,TEXAS,12.78%,19.01%,8.6%,
Borden County Texas,TEXAS,12.35%,18.73%,8.22%,
Brewster County Texas,TEXAS,11.66%,17.65%,7.89%,
Fisher County Texas,TEXAS,12.78%,19.01%,8.6%,
Kerr County Texas,TEXAS,10.08%,14.75%,6.69%,
Irion County Texas,TEXAS,12.35%,18.73%,8.22%,
Crosby County Texas,TEXAS,11.43%,17.58%,7.66%,
Gillespie County Texas,TEXAS,10.08%,14.75%,6.69%,
Cherokee County Texas,TEXAS,12.82%,19.18%,8.71%,
Lynn County Texas,TEXAS,11.43%,17.58%,7.66%,
Hidalgo County Texas,TEXAS,10.74%,17.41%,6.95%,
